#-----------------------------------------------------------------------------------------------;;x
#Countries;x
#-----------------------------------------------------------------------------------------------;x
#;x
ABK;Abkhazia;x
ABK_DESC;In 9th century, Abkhazia was a powerful state, able to exert power over much of Georgia. 200 years later however, they were dynastically absorbed by the Bagratids. As a part of Georgian Kingdom, it was given to the house of Shirvashidze, which retained their title of princes of Abkhazia well into 19th century.;x
ADA;Adal;x
ADA_DESC;Of the medieval centralized state systems of Somali history, Adal was prominent. During the sixteenth century, its borders extended from Zeila, its capital, through the fertile valleys of the Jijiga and the Harer plateau to the Ethiopian highlands. Adal was founded by the former people of Ifat, a sultanate destroyed by Ethiopians in the 14th century. Holding true to this legacy, Adal is famous for its conflicts with the expansionist Ethiopians. Eventually, this would prove to be its undoing.;x
ADE;Aden;x
ADE_DESC;Aden's strategic location and its importance as a commercial center long made it a coveted conquest for its rapacious neighbors. Muslim Arabs held the region from the 7th to the 16th centuries. The Portuguese, desiring more bases for further exploration and trade in the Indian Ocean, failed in an attempt to capture it in 1513, but in 1538 it fell to the Ottoman Empire. At the end of the 18th century Aden's importance as a strategic post grew as a result of British policy to contain French expansion in the region.;x
AFG;Afghanistan;x
AFG_DESC;During the collapse of the Timurid Empire, various Afghani chiefs ruled in the environs between Kabul and the Indus River. In the 18th century the Persian ruler, Nadir Shah, extended his rule to the North of the Hindu Kush. The first Afghan state in the modern sense arose after Nadir's death in 1747 under his lieutenant Ahmad Shah - an Afghan tribal leader who forged a united state covering most of present-day Afghanistan. His dynasty gave the Afghans a name (Durrani) that they themselves frequently use.;x
AHM;Ahmadnagar;x
AHM_DESC;Ahmadnagar was a succesor state to the Bahamani Kingdom that arose from the breakup of the Sultanate of Delhi. Ahmadnagar remained independent until conquered by Akbar in 1599.;x
AKK;Ak Koyunlu;x
AKK_DESC;The Ak Koyunlu (Turkish: White Sheep) were a Turkmen tribal federation that ruled northern Iraq, Azerbaijan and eastern Anatolia. In constant tension with the Ottomans and lesser Turkish principalities in Anatolia, as well as their cousins to the south - the Kara Koyunlu (Black Sheep) - the Ak Koyunlus first sided with Timur and then attacked his successors. Though for a time their lands grew to include modern-day Iraq and most of Persia, they finally succumbed to the Shiite heretics under the great Ismail Safavid, their last territories conquered by the Ottomans in the early 16th century.;x
ALB;Albania;x
ALB_DESC;After Dušan's death in 1355, Albania was ruled by native chieftains until the Ottoman Empire sought new conquests in the 15th century. The son of a prominent chieftain was given as hostage to the Sultan and converted to Islam. Serving the Turks well, he received the title Iskender Bey (Lord Alexander), which in Albanian became Skanderbeg. Skanderbeg eventually renounced Islam and reconverted to Christianity, leading his countrymen in successful resistance to Turkish domination. After his death in 1468 he was immortalized as Albania's national hero. Supported by Venice and Naples, Albania continued to struggle against the Ottomans until 1478 when the country finally succumbed to the Muslim threat.;x
ALD;Algiers;x
ALD_DESC;After the 'Reconquista', many of the Moors expelled from Granada in 1492 settled in the city of Al-jaza'ir (Algiers). Trying to stem their incessant piracy, the Spanish occupied the island of Peñon in the Bay of Algiers, but they were driven out when Turkish corsair Barbarossa captured Algiers for the Ottoman Empire in 1529. Algiers became an important base for the Muslim fleet that preyed upon Christian commerce in the Mediterranean. Under the Ottomans the city's population reached 100,000. The ruling Turkish officials in Algeria, the Deys of Algiers, finally made themselves virtually independent of Istanbul in the 18th and 19th century.;x
ANG;Angoche;x
ANG_DESC;Angoche was founded by refugees from Kilwa during the 15th Century. Like Kilwa it produced little itself, but served as a entrepôt for gold and ivory from Zimbabwe and Monomotapa. The arrival of the Portuguese greatly disrupted the existing trading networks and Angoche suffered severely. Development of the French colonies of Réunion and Mauritius during the 18th Century spurred the growth of the slave trade to meet the demand of the French plantations and Angoche prospered mightily as a consequence. It was finally conquered by the Portuguese in 1861.;x
ANN;Annam;x
