#-----------------------------------------------------------------------------------------------;;x
#Events;x
#-----------------------------------------------------------------------------------------------;x
#;x
###################################
#### COMMON SHORT ACTION NAMES ####
###################################
#;x
ALAS;Alas!;x
AT_LAST;At last!;x
AWESOME;Awesome!;x
BRILLIANT;Brilliant!;x
CURSES;Curses!;x
DAMN;Damn!;x
DARN;Darn!;x
DRATS;Drats!;x
EXCELLENT;Excellent!;x
FREEDOM;Freedom!;x
GOOD;Good!;x
GOOD_NEWS;Good news!;x
GREAT;Great!;x
HURRAH;Hurrah!;x
MAGNIFICENT;Magnificent!;x
MARVELLOUS;Marvellous!;x
OH_NO;Oh no!;x
OH_WELL;Oh, well...;x
OUCH;Ouch!;x
PEACE;Peace!;x
PROSPERITY;Prosperity!;x
SPLENDID;Splendid!;x
VERY_WELL;Very well!;x
VIVAT;Vivat!;x
WAR;War!;x
WELCOME;Welcome!;x
WONDERFUL;Wonderful!;x
#;x
#;x
#################################
#### AGCEEP_Alt_Crusader.eue ####
#################################
#;x
EVENTNAME21901;To the Holy Land;x
EVENTHIST21901;Near his death while the passage of the fifty-first psalm was being read King Henry V declared that after France was fully subdued there should be a crusade conducted against the infidels and that England should recover the Holy Land.;x
ACTIONNAME21901A;This is Utter Nonsense;x
ACTIONNAME21901B;Send Out a Small Expedition;x
ACTIONNAME21901C;Yes, the Holy Land Shall Be Ours!;x
#;x
EVENTNAME201990;Fall of Constantinople;x
EVENTHIST201990;Constantinople, long our bulwark against the East, has fallen. We have the chance to declare a crusade, a holy war...;x
ACTIONNAME201990A;Encourage Other Nations to Crusade;x
ACTIONNAME201990B;Let there be Peace with Muslim nations;x
ACTIONNAME201990C;Let there be War with the Infidel;x
#;x
EVENTNAME201991;Reconquest of County of Tripoli (Lebanon);x
EVENTHIST201991;The Knights have reconquered the County of Tripoli (Lebanon), shall we relocate to Lebanon? There is certain to be unrest as we are foreign invaders with a far different culture and religion than many of the inhabitants.;x
ACTIONNAME201991A;Keep our capital;x
ACTIONNAME201991B;Move to Beirut;x
#;x
EVENTNAME201992;Reconquest of County of Edessa (Aleppo);x
EVENTHIST201992;The Knights have reconquered the County of Edessa (Aleppo). There is certain to be unrest as we are foreign invaders with a far different culture and religion than many of the inhabitants.;x
ACTIONNAME201992A;Praise the Lord!;x
#;x
EVENTNAME201993;Reconquest of Samaria (Sidon, Tyre, and Acre);x
EVENTHIST201993;The Knights have reconquered Samaria (Sidon, Tyre, and Acre). There is certain to be unrest as we are foreign invaders with a far different culture and religion than many of the inhabitants.;x
#;x
EVENTNAME201994;Reconquest of Judea (Jaffa, Ascalon, and Jerusalem);x
EVENTHIST201994;The Knights have reconquered Judea, including Caesarea, Jaffa, Ascalon, Gaza, Kerak, and the Holy City of Jerusalem. There is certain to be unrest as we are foreign invaders with a far different culture and religion than many of the inhabitants.;x
#;x
EVENTNAME201995;Reconquest of Outremer;x
EVENTHIST201995;The Knights have reconquered the Old Crusader Kingdom of Outremer, including the County of Edessa (Aleppo), County of Tripoli (Lebanon), Sidon, Tyre, Acre (Samaria), Caesarea, Jaffa, Ascalon, Gaza, Kerak, and the Holy City of Jerusalem (in Judea). Money is flowing in from European nations and from the Papacy, ostensibly to fund pilgrims and missionaries. Let us show the temperance and wisdom which our forbears did not. But let us also re-fortify Acre, Jerusalem, and our former castles of Margat and Krak des Chevaliers.;x
#;x
EVENTNAME201996;Kingdom of Jerusalem;x
EVENTHIST201996;Following the reconquest of the Holy City of Jerusalem, the Knights have been put under tremendous pressure from Europe to re-instate the Kingdom of Jerusalem.;x
ACTIONNAME201996A;Coordinate the defense of Jerusalem from our current location;x
ACTIONNAME201996B;Proclaim Ourselves the Kingdom of Jerusalem;x
ACTIONNAME201996C;Sadly, We cannot defend it;x
#;x
EVENTNAME201997;End of Internal Strife in Outremer;x
EVENTHIST201997;Order of St. John presence in Outremer is now a consolidated reality. Obviously we can't leave local religious customs out of consideration, otherwise we will surely have to face new internal hostilities.;x
#;x
#;x
################################
#### AGCEEP_Alt_Germany.eue ####
################################
#;x
EVENTNAME336110;The Imperial capital;x
EVENTHIST336110;Now that we have established the much-needed reforms in the Empire, we can proceed to the creation of some more central institutions that would facilitate the administration of the Kingdom of Germany. Before doing that, we must yet decide where to place these institutions, i.e. which city should be the capital of Germany. Nürnberg, whose Imperial castle was the main residence of the emperors in the late middle ages, already hosts the Imperial Executive Council and would be an obvious choice. By instead making Frankfurt, site of the Imperial elections, the centre of the Empire, we would stress the sole legitimation of Imperial power by election. On the other hand, chosing Aachen, the capital of Charlemagne and the city of Imperial coronations, would accentuate both the divine legitimacy of Imperial rule and the ancient Frankish legacy. Of course, we could as well just make the hereditary residence of the Emperor capital of Germany.;x
ACTIONNAME336110A;The loyal city of Nürnberg;x
ACTIONNAME336110B;Frankfurt, the city of Imperial elections;x
ACTIONNAME336110C;Aachen, the city of Charlemagne and Imperial coronation;x
ACTIONNAME336110D;Make the old residence capital of the Empire;x
#;x
EVENTNAME366000;Habsburg dynasty;x
EVENTHIST366000;Having managed to turn Germany into an effective monarchy, the Habsburg Archdukes of Austria enjoy great support in Germany, and although the crown of Germany is still electoral, nobody will presumably stand a chance against them in future elections. The crown is thus likely to remain within this dynasty for many years. Naturally, the military leaders loyal to them will serve a Germany under their rule.;x
#;x
EVENTNAME366001;Hohenzollern dynasty;x
EVENTHIST366001;Having managed to turn Germany into an effective monarchy, the Hohenzollern electors of Brandenburg enjoy great support in Germany, and although the crown of Germany is still electoral, nobody will presumably stand a chance against them in future elections. The crown is thus likely to remain within this dynasty for many years. Naturally, the military leaders loyal to them will serve a Germany under their rule.;x
#;x
EVENTNAME366002;Bavarian Wittelsbach dynasty;x
EVENTHIST366002;Having managed to turn Germany into an effective monarchy, the Wittelsbach Dukes of Bavaria enjoy great support in Germany, and although the crown of Germany is still electoral, nobody will presumably stand a chance against them in future elections. The crown is thus likely to remain within this dynasty for many years. Naturally, the military leaders loyal to them will serve a Germany under their rule.;x
#;x
EVENTNAME366003;Palatine Wittelsbach dynasty;x
