#-----------------------------------------------------------------------------------------------;;x
#Provinces;x
#-----------------------------------------------------------------------------------------------;x
#;x
PROV_Abkhazia;Abkhazia;x
PROV_Acadie;Acadie;x
PROV_Acapulco_Bay;Acapulco Bay;x
PROV_Accra;Accra;x
PROV_Adana;Adana;x
PROV_Aden;Aden;x
PROV_Adirondak;Adirondak;x
PROV_Adriatic_Sea;Adriatic Sea;x
PROV_Aegean_Sea;Aegean Sea;x
PROV_Afars;Afars;x
PROV_Aires;Aires;x
PROV_Aisen;Aisen;x
PROV_Ajeh;Ajeh;x
PROV_Akyab_Bay;Akyab Bay;x
PROV_Al_Djazair;Al Djazair;x
PROV_Al_Kharam;Al Kharam;x
PROV_Alabama;Alabama;x
PROV_Alabama_River;Alabama River;x
PROV_Alagoas;Alagoas;x
PROV_Åland_Sea;Åland Sea;x
PROV_Albania;Albania;x
PROV_Aleppo;Aleppo;x
PROV_Aleutes;Aleutes;x
PROV_Aleutian_Islands;Aleutian Islands;x
PROV_Aleutian_Sea;Aleutian Sea;x
PROV_Alexandria;Alexandria;x
PROV_Alga;Alga;x
PROV_Algarve;Algarve;x
PROV_Alleghany;Alleghany;x
PROV_Alsace;Alsace;x
PROV_Altai;Altai;x
PROV_Altar;Altar;x
PROV_Amakusa_Sea;Amakusa Sea;x
PROV_Amapa;Amapa;x
PROV_Amazon_River;Amazon River;x
PROV_Ambovombe;Ambovombe;x
PROV_Amgoun;Amgoun;x
PROV_Amour;Amour;x
PROV_Amur_Delta;Amur Delta;x
PROV_Amur_River;Amur River;x
PROV_Anatolia;Anatolia;x
PROV_Andalusia;Andalusia;x
PROV_Andaman_Sea;Andaman Sea;x
PROV_Angara;Angara;x
PROV_Anglia;Anglia;x
PROV_Angora;Angora;x
PROV_Anhalt;Anhalt;x
PROV_Anhui;Anhui;x
PROV_Ansbach;Ansbach;x
PROV_Antalya;Antalya;x
PROV_Anti_Atlas;Anti Atlas;x
PROV_Anticosti;Anticosti;x
PROV_Antigua;Antigua;x
PROV_Antilles_Current;Antilles Current;x
PROV_Antsirana;Antsirana;x
PROV_Appalache;Appalache;x
PROV_Apulia;Apulia;x
PROV_Apure;Apure;x
PROV_Arabia;Arabia;x
PROV_Arafuan_Sea;Arafuan Sea;x
PROV_Aragon;Aragon;x
PROV_Aral_Sea;Aral Sea;x
PROV_Aralsk;Aralsk;x
PROV_Araxa;Araxa;x
PROV_Arequipa;Arequipa;x
PROV_Arequipa_Bay;Arequipa Bay;x
PROV_Arica;Arica;x
PROV_Arica_Gulf;Arica Gulf;x
PROV_Arizona;Arizona;x
PROV_Arkansas;Arkansas;x
PROV_Arkhangelsk;Arkhangelsk;x
PROV_Armenia;Armenia;x
PROV_Armor;Armor;x
PROV_Arsi;Arsi;x
PROV_Artigas;Artigas;x
PROV_Artois;Artois;x
PROV_Arusha;Arusha;x
PROV_Ascension_Island;Ascension Island;x
PROV_Assam;Assam;x
PROV_Astrakhan;Astrakhan;x
PROV_Asturias;Asturias;x
PROV_Atacama;Atacama;x
PROV_Atacama_Coast;Atacama Coast;x
PROV_Atalaya;Atalaya;x
PROV_Athabasca_River;Athabasca River;x
PROV_Athabaska;Athabaska;x
PROV_Atlantic_Equatorial_Current;Atlantic Equatorial Current;x
PROV_Atlantic_Equatorial_Current;Atlantic Equatorial Current;x
PROV_Atlantic_Equatorial_Current;Atlantic Equatorial Current;x
PROV_Atlantic_Equatorial_Current;Atlantic Equatorial Current;x
PROV_Atlantic_Equatorial_Current;Atlantic Equatorial Current;x
PROV_Atlas;Atlas;x
PROV_Atlixco;Atlixco;x
PROV_Attawapiskat;Attawapiskat;x
PROV_Aures;Aures;x
PROV_Australian_Sea;Australian Sea;x
PROV_Austria;Austria;x
PROV_Auvergne;Auvergne;x
PROV_Awadh;Awadh;x
PROV_Awdaghost;Awdaghost;x
PROV_Awhaz;Awhaz;x
PROV_Ayacucho;Ayacucho;x
PROV_Azaouad;Azaouad;x
PROV_Azerbaijan;Azerbaijan;x
PROV_Azow;Azow;x
PROV_Azuay;Azuay;x
PROV_Bab_El_Mandeb;Bab El Mandeb;x
PROV_Baden;Baden;x
PROV_Bago;Bago;x
PROV_Bahamas;Bahamas;x
PROV_Bahia_Blanca;Bahia Blanca;x
PROV_Bahrein;Bahrein;x
PROV_Baicheng;Baicheng;x
PROV_Baja;Baja;x
PROV_Balabac_Strait;Balabac Strait;x
PROV_Baladok;Baladok;x
PROV_Balakhta;Balakhta;x
PROV_Bale;Bale;x
PROV_Bali;Bali;x
PROV_Baltic_Sea;Baltic Sea;x
PROV_Baluchistan;Baluchistan;x
PROV_Bambuk;Bambuk;x
PROV_Banat;Banat;x
PROV_Bandjarmasin;Bandjarmasin;x
PROV_Bandung;Bandung;x
PROV_Bangalore;Bangalore;x
PROV_Bangkok;Bangkok;x
PROV_Bangor;Bangor;x
PROV_Bantry_Bay;Bantry Bay;x
PROV_Barabinsk;Barabinsk;x
PROV_Barahona;Barahona;x
PROV_Barbados;Barbados;x
PROV_Barbary_Coast;Barbary Coast;x
PROV_Bas_St-Laurent;Bas St-Laurent;x
PROV_Basrah;Basrah;x
PROV_Bass_Strait;Bass Strait;x
PROV_Bastar;Bastar;x
PROV_Batn_al_Hajar;Batn al Hajar;x
